state,year,month,total_cases,total_deaths,,
Alabama,2020,1,0,0,,
Alabama,2020,2,0,0,,
Alabama,2020,3,6129,42,,
Alabama,2020,4,125166,4044,,
Alabama,2020,5,372033,14438,,
Alabama,2020,6,800287,23697,,
Alabama,2020,7,1918336,38436,,
Alabama,2020,8,756876,13428,,
Alaska,2020,1,0,0,,
Alaska,2020,2,0,0,,
Alaska,2020,3,851,8,,
Alaska,2020,4,8231,173,,
Alaska,2020,5,12256,243,,
Alaska,2020,6,23003,291,,
Alaska,2020,7,67633,496,,
Alaska,2020,8,33051,183,,
Arizona,2020,1,6,0,,
Arizona,2020,2,29,0,,
Arizona,2020,3,6830,118,,
Arizona,2020,4,128668,4870,,
Arizona,2020,5,417110,19864,,
Arizona,2020,6,1297231,37510,,
Arizona,2020,7,4105142,79906,,
Arizona,2020,8,1452839,31320,,
Arkansas,2020,1,0,0,,
Arkansas,2020,2,0,0,,
Arkansas,2020,3,3965,36,,
Arkansas,2020,4,53571,1007,,
Arkansas,2020,5,150100,3137,,
Arkansas,2020,6,402154,5895,,
Arkansas,2020,7,972426,10829,,
Arkansas,2020,8,367132,3966,,
California,2020,1,14,0,,
California,2020,2,285,0,,
California,2020,3,55406,1113,,
California,2020,4,865585,30176,,
California,2020,5,2476264,99379,,
California,2020,6,4905111,155690,,
California,2020,7,11404982,232621,,
California,2020,8,4253026,78336,,
Colorado,2020,1,0,0,,
Colorado,2020,2,0,0,,
Colorado,2020,3,18603,344,,
Colorado,2020,4,264026,11715,,
Colorado,2020,5,660633,35594,,
Colorado,2020,6,886415,48035,,
Colorado,2020,7,1215655,54290,,
Colorado,2020,8,391115,14834,,
Connecticut,2020,1,0,0,,
Connecticut,2020,2,0,0,,
Connecticut,2020,3,14606,283,,
Connecticut,2020,4,467204,29752,,
Connecticut,2020,5,1124193,101014,,
Connecticut,2020,6,1348657,125398,,
Connecticut,2020,7,1483675,135762,,
Connecticut,2020,8,400902,35494,,
Delaware,2020,1,0,0,,
Delaware,2020,2,0,0,,
Delaware,2020,3,1887,31,,
Delaware,2020,4,67480,1840,,
Delaware,2020,5,229386,8381,,
Delaware,2020,6,312601,13062,,
Delaware,2020,7,410198,16554,,
Delaware,2020,8,121626,4694,,
District of Columbia,2020,1,0,0,,
District of Columbia,2020,2,0,0,,
District of Columbia,2020,3,2923,41,,
District of Columbia,2020,4,70950,2651,,
District of Columbia,2020,5,215106,11296,,
District of Columbia,2020,6,291828,15437,,
District of Columbia,2020,7,345436,17731,,
District of Columbia,2020,8,99393,4697,,
Florida,2020,1,0,0,,
Florida,2020,2,0,0,,
Florida,2020,3,35597,489,,
Florida,2020,4,671158,19495,,
Florida,2020,5,1396018,59664,,
Florida,2020,6,2637626,89605,,
Florida,2020,7,9746638,149112,,
Florida,2020,8,4014090,60067,,
Georgia,2020,1,0,0,,
Georgia,2020,2,0,0,,
Georgia,2020,3,22119,699,,
Georgia,2020,4,453331,18051,,
Georgia,2020,5,1109472,48939,,
Georgia,2020,6,1734682,73197,,
Georgia,2020,7,3794129,96401,,
Georgia,2020,8,1480641,31062,,
Guam,2020,1,0,0,,
Guam,2020,2,0,0,,
Guam,2020,3,594,11,,
Guam,2020,4,20795,156,,
Guam,2020,5,34932,186,,
Guam,2020,6,35170,180,,
Guam,2020,7,39876,186,,
Guam,2020,8,10822,48,,
Hawaii,2020,1,0,0,,
Hawaii,2020,2,0,0,,
Hawaii,2020,3,1474,1,,
Hawaii,2020,4,14988,274,,
Hawaii,2020,5,19430,525,,
Hawaii,2020,6,22303,514,,
Hawaii,2020,7,41333,673,,
Hawaii,2020,8,21432,215,,
Idaho,2020,1,0,0,,
Idaho,2020,2,0,0,,
Idaho,2020,3,2359,34,,
Idaho,2020,4,45937,1098,,
Idaho,2020,5,75057,2266,,
Idaho,2020,6,116842,2628,,
Idaho,2020,7,412314,3800,,
Idaho,2020,8,181921,1722,,
Illinois,2020,1,10,0,,
Illinois,2020,2,59,0,,
Illinois,2020,3,33167,450,,
Illinois,2020,4,802337,32642,,
Illinois,2020,5,2822196,125228,,
Illinois,2020,6,4025869,195076,,
Illinois,2020,7,4987937,230706,,
Illinois,2020,8,1503735,62151,,
Indiana,2020,1,0,0,,
Indiana,2020,2,0,0,,
Indiana,2020,3,10152,313,,
Indiana,2020,4,292473,16218,,
Indiana,2020,5,857247,52744,,
Indiana,2020,6,1241303,73069,,
Indiana,2020,7,1745006,86855,,
Indiana,2020,8,572796,24001,,
Iowa,2020,1,0,0,,
Iowa,2020,2,0,0,,
Iowa,2020,3,2794,26,,
Iowa,2020,4,83724,1947,,
Iowa,2020,5,441186,10769,,
Iowa,2020,6,731691,19631,,
Iowa,2020,7,1152156,24212,,
Iowa,2020,8,373778,7177,,
Kansas,2020,1,0,0,,
Kansas,2020,2,0,0,,
Kansas,2020,3,2408,60,,
Kansas,2020,4,55555,2241,,
Kansas,2020,5,241100,5676,,
Kansas,2020,6,355114,7457,,
Kansas,2020,7,663964,9654,,
Kansas,2020,8,237105,2959,,
Kentucky,2020,1,0,0,,
Kentucky,2020,2,0,0,,
Kentucky,2020,3,3398,84,,
Kentucky,2020,4,74780,3889,,
Kentucky,2020,5,234711,10848,,
Kentucky,2020,6,389689,15726,,
Kentucky,2020,7,694134,20877,,
Kentucky,2020,8,268678,6174,,
Louisiana,2020,1,0,0,,
Louisiana,2020,2,0,0,,
Louisiana,2020,3,28913,1137,,
Louisiana,2020,4,625639,32872,,
Louisiana,2020,5,1061231,75798,,
Louisiana,2020,6,1436753,91082,,
Louisiana,2020,7,2696554,109304,,
Louisiana,2020,8,992943,32687,,
Maine,2020,1,0,0,,
Maine,2020,2,0,0,,
Maine,2020,3,2110,13,,
Maine,2020,4,22358,843,,
Maine,2020,5,52158,2180,,
Maine,2020,6,84057,3010,,
Maine,2020,7,112034,3546,,
Maine,2020,8,31869,990,,
Maryland,2020,1,0,0,,
Maryland,2020,2,0,0,,
Maryland,2020,3,8831,84,,
Maryland,2020,4,327492,13760,,
Maryland,2020,5,1190664,59244,,
Maryland,2020,6,1867000,88044,,
Maryland,2020,7,2391813,103834,,
Maryland,2020,8,741031,28303,,
Massachusetts,2020,1,0,0,,
Massachusetts,2020,2,29,0,,
Massachusetts,2020,3,34418,340,,
Massachusetts,2020,4,977699,42952,,
Massachusetts,2020,5,2582585,170827,,
Massachusetts,2020,6,3164865,228975,,
Massachusetts,2020,7,3498717,259483,,
Massachusetts,2020,8,954877,69349,,
Michigan,2020,1,0,0,,
Michigan,2020,2,0,0,,
Michigan,2020,3,39225,967,,
Michigan,2020,4,818293,59519,,
Michigan,2020,5,1558908,148969,,
Michigan,2020,6,1981377,179464,,
Michigan,2020,7,2483179,196370,,
Michigan,2020,8,749927,51900,,
Minnesota,2020,1,0,0,,
Minnesota,2020,2,0,0,,
Minnesota,2020,3,4480,47,,
Minnesota,2020,4,65270,3818,,
Minnesota,2020,5,469404,21878,,
Minnesota,2020,6,925287,39472,,
Minnesota,2020,7,1388670,48459,,
Minnesota,2020,8,460886,13333,,
Mississippi,2020,1,0,0,,
Mississippi,2020,2,0,0,,
Mississippi,2020,3,5791,88,,
Mississippi,2020,4,109721,3972,,
Mississippi,2020,5,344072,15804,,
Mississippi,2020,6,614642,27336,,
Mississippi,2020,7,1279092,40931,,
Mississippi,2020,8,503684,14211,,
Missouri,2020,1,0,0,,
Missouri,2020,2,0,0,,
Missouri,2020,3,6536,96,,
Missouri,2020,4,144460,5056,,
Missouri,2020,5,334500,17904,,
Missouri,2020,6,517729,27450,,
Missouri,2020,7,1053738,35764,,
Missouri,2020,8,443060,10709,,
Montana,2020,1,0,0,,
Montana,2020,2,0,0,,
Montana,2020,3,1200,12,,
Montana,2020,4,11538,280,,
Montana,2020,5,14576,502,,
Montana,2020,6,19781,581,,
Montana,2020,7,71052,1109,,
Montana,2020,8,35645,527,,
Nebraska,2020,1,0,0,,
Nebraska,2020,2,151,0,,
Nebraska,2020,3,1682,13,,
Nebraska,2020,4,44916,866,,
Nebraska,2020,5,305559,3841,,
Nebraska,2020,6,508068,6926,,
Nebraska,2020,7,691529,9469,,
Nebraska,2020,8,218886,2743,,
Nevada,2020,1,0,0,,
Nevada,2020,2,0,0,,
Nevada,2020,3,6859,123,,
